t,y,v
9.32,-0.383283,-0.059725
9.33,-0.38386,-0.0557737
9.34,-0.384398,-0.0518248
9.35,-0.384897,-0.0478786
9.36,-0.385356,-0.0439355
9.37,-0.385776,-0.0399958
9.38,-0.386156,-0.0360601
9.39,-0.386497,-0.0321286
9.4,-0.386799,-0.0282018
9.41,-0.387061,-0.02428
9.42,-0.387284,-0.0203636
9.43,-0.387468,-0.016453
9.44,-0.387613,-0.0125485
9.45,-0.387719,-0.00865062
9.46,-0.387786,-0.00475965
9.47,-0.387814,-0.000875982
9.48,-0.387804,0.00300002
9.49,-0.387754,0.00686797
9.5,-0.387666,0.0107275
9.51,-0.38754,0.0145783
9.52,-0.387375,0.0184199
9.53,-0.387172,0.022252
9.54,-0.38693,0.0260742
9.55,-0.38665,0.0298861
9.56,-0.386332,0.0336875
9.57,-0.385976,0.0374779
9.58,-0.385583,0.041257
9.59,-0.385151,0.0450244
9.6,-0.384682,0.0487798
9.61,-0.384176,0.0525228
9.62,-0.383632,0.0562531
9.63,-0.383051,0.0599703
9.64,-0.382432,0.0636741
9.65,-0.381777,0.0673642
9.66,-0.381085,0.0710401
9.67,-0.380357,0.0747016
9.68,-0.379591,0.0783483
9.69,-0.37879,0.0819799
9.7,-0.377952,0.0855961
9.71,-0.377078,0.0891965
9.72,-0.376168,0.0927808
9.73,-0.375222,0.0963486
9.74,-0.374241,0.0998997
9.75,-0.373224,0.103434
9.76,-0.372172,0.10695
9.77,-0.371085,0.110449
9.78,-0.369963,0.11393
9.79,-0.368807,0.117393
9.8,-0.367616,0.120837
9.81,-0.36639,0.124262
9.82,-0.36513,0.127667
9.83,-0.363837,0.131053
9.84,-0.362509,0.13442
9.85,-0.361148,0.137766
9.86,-0.359754,0.141091
9.87,-0.358327,0.144396
9.88,-0.356866,0.14768
9.89,-0.355373,0.150943
9.9,-0.353848,0.154184
9.91,-0.35229,0.157403
9.92,-0.3507,0.1606
9.93,-0.349078,0.163775
9.94,-0.347424,0.166926
9.95,-0.345739,0.170055
9.96,-0.344023,0.173161
9.97,-0.342276,0.176243
9.98,-0.340498,0.179301
9.99,-0.33869,0.182336
10,-0.336852,0.185346
